,Unnamed: 0.1,Unnamed: 0,Review,Rating
0,0,0,Best under 60k Great performanceI got it for around 58500Battery backup is bit low but thanks to rapid charger its very fast Display is Ok for this price range Decent speakers with many customisation optionsVantage software is so good for customisationOverall good performance till nowWill update later if any problem occurs,best  great performancei got around  backup bit low thank rapid charger fast display ok price rang decent speaker mani customis optionsvantag softwar good customisationoveral good perform till nowwil updat later problem occur
1,1,1,Good perfomence...,good perfom
2,2,2,"Great performance but usually it has also that gaming laptop's issue of battery. It can only stand for 2 - 3 hrs without adapter. So, I prefer that use it with adaptor if you are using any software or playing games.",great perform usual also game laptop issu batteri stand    hrs without adapt prefer use adaptor use softwar play game
3,3,3,My wife is so happy and best product 👌🏻😘,wife happi best product 👌🏻😘
4,4,4,"Light weight laptop with new amazing features, battery life is awesome.",light weight laptop new amaz featur batteri life awesom
5,5,5,"Amazing laptop, am so much happy, thanks for Flipkart.",amaz laptop much happi thank flipkart
6,6,6,Over all a good laptop for personal use,good laptop person use
7,7,7,Thank you so much Flipkart,thank much flipkart
8,8,8,Amazing product,amaz product
9,9,9,"Good for normal work , students, online classes, watching movies etc.Not for havy tasks, gaming, buisness work, office work.editing etc.Overall good laptop in this range in budget laptops.",good normal work  student onlin class watch movi etcnot havi task game buis work offic workedit etcoveral good laptop rang budget laptop
10,10,10,Laptop received was in good packaging and good condition. Performance wise little bit slow compared to i3 processor of Intel. For general usage this laptop performs good.,laptop receiv good packag good condit perform wise littl bit slow compar  processor intel general usag laptop perform good
11,11,11,Very nice,nice
12,12,12,Good product but dilevary slow,good product dilevari slow
13,13,13,"If you can affort few thousands extra you can prefer other laptops with same config.I came to know about done limitations of this laptop-poor webcam not even suitable for day to day online classes-Sound very low, need to connect external speakers-Keypad not visible due to same colour of laptop body and keys. Backlight not available.-Low battery backupTo save cost Asus has done these compromises.Performance wise doesn't see any issue, but since I'm using HP laptop also these small th...",affort thousand extra prefer laptop configi came know done limit laptoppoor webcam even suitabl day day onlin classessound low need connect extern speakerskeypad visibl due colour laptop bodi key backlight availablelow batteri backupto save cost asus done compromisesperform wise doesnt see issu sinc im use hp laptop also small th
14,14,14,Good,good
15,15,15,All good but battery backup not good enough,good batteri backup good enough
16,16,16,"I'll update this review again after a month usage...As of now, it's a good laptop, but battery is not upto the mark...",ill updat review month usagea good laptop batteri upto mark
17,17,17,I love it ....❣️,love ❣️
18,18,18,Good,good
19,19,19,Best Laptop 💻 👌 in the segment. Classy performance 👏 because of ssd memory.Battery 🔋 is good enough.Design is so sleeky.Recommend you to buy.,best laptop 💻 👌 segment classi perform 👏 ssd memorybatteri 🔋 good enoughdesign sleekyrecommend buy
20,20,20,Awesome quality and very likely,awesom qualiti like
21,21,21,Incredible laptop Performance very good 👍,incred laptop perform good 👍
22,22,22,good looking and performance also good,good look perform also good
23,23,23,I love it 💗💗 not because of prize but it's really fast working..and good product...must try it once.,love 💗💗 prize realli fast workingand good productmust tri
24,24,24,"First of all thanks to Flipkart for a faster delivery, it was under 2days. You guys are awesome. The laptop is so much slik looking and classy. It is so much premium looking. The display is great and the performance is even faster. I am a student, doing my bachelor's, so for student work it is more faster than required. I just loved the laptop. But for gaming I don't know, because I can't play games that much. Boot time is less than 6 second.",first thank flipkart faster deliveri  guy awesom laptop much slik look classi much premium look display great perform even faster student bachelor student work faster requir love laptop game dont know cant play game much boot time less  second
25,25,25,"Good Laptop under 40k got it at 39k. Good for students,professionals not built for heavy task but normal excel power point run smoothly. Sound quality is average but audible. Overall good laptop.",good laptop  got  good studentsprofession built heavi task normal excel power point run smooth sound qualiti averag audibl overal good laptop
26,26,26,Awesome specifications and reasonable price.. Slim and well designed.. Built quality is awesome,awesom specif reason price slim well design built qualiti awesom
27,27,27,"Delivery was done after 8 days after purchasing quite long time taken.but overall product is great,compitable,slim & handy.. performance is outstanding in this range.everything works fine",deliveri done  day purchas quit long time takenbut overal product greatcompitableslim  handi perform outstand rangeeveryth work fine
28,28,28,Nice product in this price range .. Go for it,nice product price rang  go
29,29,29,Performance of this laptop is very niceDisplay quality is awesome,perform laptop nicedisplay qualiti awesom
30,30,30,Very nice laptop.,nice laptop
31,31,31,Every thing is just fine but the tn display is so annoying as always,everi thing fine tn display annoy alway
32,32,32,Nice product in this price point I recommend you....you can go for it,nice product price point recommend youyou go
33,33,33,"This laptop has major scree issueviewing angle is very badI'm not going to enjoy multimedia in this pc.This os irritating.If you tilt your screen then you will see only black and white colours.Everyone told me about hp is a brand that provides better service , build Quality, coustomer satisfaction, Display and also battery.I will never think about that hp laptop comes with wrost screen experience.**For those Costomer who will read my review:-One thing that i have noticed about Hp....",laptop major scree issueview angl badim go enjoy multimedia pcthis os irritatingif tilt screen see black white colourseveryon told hp brand provid better servic  build qualiti coustom satisfact display also batteryi never think hp laptop come wrost screen experiencefor costom read reviewon thing notic hp
